estado,habitantes,area
SP,41510422.20999998
MG,20183852.429999985
RJ,16033709.250000002
BA,14581639.370000001
RS,10962695.510000005
PR,10643834.08
PE,8894596.499999998
PA,8829005.71
CE,8601301.59
MA,6906726.610000001
SC,6344172.289999995
GO,6343899.989999999
AM,5043144.190000002
MT,3938488.29
PB,3822997.8799999994
ES,3561047.6399999997
PI,3369937.8599999994
RN,3220838.1299999994
AL,3148272.510000001
MS,2806169.5500000007
DF,2575940.0
SE,2089932.1300000001
RO,1799999.5599999994
TO,1661165.5400000003
AC,897682.0599999999
AP,812354.5400000002
RR,674779.5100000001
